Type of Soil,Area Ploughed (in acres),Average Rainfall (in mm),Season,Type of Seeds,Type of Transplanting Method,Type of Irrigation Method,Type of Fertilizers Used,Yield Category
Red and Yellow Soil,20.16,479.7,Kharif,Foundation Seeds,Machine,Drip Irrigation,Chemical Fertilizers,High
Laterite Soil,14.52,1410.6,Rabi,Breeder Seeds,Manual,Tank Irrigation,Chemical Fertilizers,Medium
Laterite Soil,13.06,1237.2,Zaid,Foundation Seeds,Machine,Tank Irrigation,Chemical Fertilizers,Medium
Saline and Alkaline Soil,7.69,1476.2,Kharif,Hybrid Seeds,Manual,Canal Irrigation,Chemical Fertilizers,Very High
Saline and Alkaline Soil,23.33,426.5,Rabi,Foundation Seeds,Manual,Drip Irrigation,Bioinputs Fertilizers,Medium
Black Soil,10.23,1456.1,Kharif,Open-Pollinated Seeds,Manual,Tank Irrigation,Chemical Fertilizers,High
Black Soil,2.63,675.3,Kharif,Hybrid Seeds,Machine,Sprinkler Irrigation,Organic Fertilizers,High
Alluvial Soil,15.62,553.9,Rabi,Genetically Modified (GM) Seeds,Manual,Canal Irrigation,Bioinputs Fertilizers,Medium
Saline and Alkaline Soil,3.29,123.0,Rabi,Foundation Seeds,Machine,Drip Irrigation,Bioinputs Fertilizers,Low
Red and Yellow Soil,8.96,126.5,Kharif,Foundation Seeds,Machine,Tubewell Irrigation,Organic Fertilizers,High
Saline and Alkaline Soil,12.93,1053.4,Kharif,Open-Pollinated Seeds,Machine,Well Irrigation,Organic Fertilizers,Very High
Red and Yellow Soil,21.92,714.0,Rabi,Open-Pollinated Seeds,Manual,Sprinkler Irrigation,Bioinputs Fertilizers,Low
Laterite Soil,12.59,378.5,Kharif,Breeder Seeds,Machine,Canal Irrigation,Chemical Fertilizers,Low
Saline and Alkaline Soil,17.71,940.3,Kharif,Breeder Seeds,Machine,Well Irrigation,Bioinputs Fertilizers,High
Laterite Soil,24.82,416.6,Rabi,Breeder Seeds,Machine,Tubewell Irrigation,Bioinputs Fertilizers,Medium
Black Soil,3.72,887.6,Kharif,Open-Pollinated Seeds,Manual,Tank Irrigation,Organic Fertilizers,Very High
Black Soil,7.23,570.9,Kharif,Breeder Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,Medium
Alluvial Soil,10.17,1244.2,Zaid,Breeder Seeds,Machine,Drip Irrigation,Chemical Fertilizers,Very High
Saline and Alkaline Soil,10.83,1240.0,Rabi,Genetically Modified (GM) Seeds,Machine,Canal Irrigation,Organic Fertilizers,High
Laterite Soil,10.57,742.2,Zaid,Breeder Seeds,Machine,Canal Irrigation,Bioinputs Fertilizers,Low
Red and Yellow Soil,22.74,558.7,Zaid,Foundation Seeds,Manual,Drip Irrigation,Bioinputs Fertilizers,Medium
Black Soil,17.99,575.7,Zaid,Open-Pollinated Seeds,Manual,Well Irrigation,Chemical Fertilizers,Low
Black Soil,15.39,1218.3,Kharif,Hybrid Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,High
Red and Yellow Soil,8.08,525.9,Kharif,Genetically Modified (GM) Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,Medium
Laterite Soil,20.68,353.1,Zaid,Open-Pollinated Seeds,Machine,Canal Irrigation,Bioinputs Fertilizers,Low
Laterite Soil,23.9,172.8,Zaid,Open-Pollinated Seeds,Machine,Canal Irrigation,Bioinputs Fertilizers,Low
Saline and Alkaline Soil,20.62,726.7,Zaid,Foundation Seeds,Manual,Drip Irrigation,Chemical Fertilizers,High
Saline and Alkaline Soil,0.54,749.1,Kharif,Breeder Seeds,Manual,Tubewell Irrigation,Bioinputs Fertilizers,Medium
Alluvial Soil,16.09,1269.3,Zaid,Foundation Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,High
Black Soil,1.75,370.8,Zaid,Breeder Seeds,Manual,Sprinkler Irrigation,Bioinputs Fertilizers,Low
Saline and Alkaline Soil,6.81,602.4,Rabi,Breeder Seeds,Machine,Tubewell Irrigation,Organic Fertilizers,Medium
Laterite Soil,1.96,1222.2,Rabi,Open-Pollinated Seeds,Machine,Tubewell Irrigation,Chemical Fertilizers,Medium
Red and Yellow Soil,15.29,1244.3,Kharif,Breeder Seeds,Manual,Canal Irrigation,Organic Fertilizers,Very High
Laterite Soil,17.32,607.7,Rabi,Genetically Modified (GM) Seeds,Manual,Canal Irrigation,Organic Fertilizers,Medium
Black Soil,3.3,715.7,Rabi,Genetically Modified (GM) Seeds,Machine,Canal Irrigation,Chemical Fertilizers,Medium
Laterite Soil,9.9,489.8,Rabi,Genetically Modified (GM) Seeds,Machine,Tubewell Irrigation,Organic Fertilizers,Low
Alluvial Soil,11.68,1402.2,Kharif,Open-Pollinated Seeds,Machine,Well Irrigation,Organic Fertilizers,Very High
Black Soil,9.54,222.0,Rabi,Foundation Seeds,Machine,Canal Irrigation,Organic Fertilizers,Medium
Red and Yellow Soil,3.47,1403.9,Kharif,Hybrid Seeds,Machine,Tank Irrigation,Chemical Fertilizers,High
Alluvial Soil,10.76,1041.6,Zaid,Breeder Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,High
Black Soil,18.9,820.8,Rabi,Hybrid Seeds,Manual,Tank Irrigation,Chemical Fertilizers,High
Red and Yellow Soil,2.24,97.4,Kharif,Foundation Seeds,Machine,Well Irrigation,Chemical Fertilizers,Medium
Alluvial Soil,2.46,739.6,Rabi,Foundation Seeds,Machine,Canal Irrigation,Chemical Fertilizers,Low
Alluvial Soil,9.19,641.2,Zaid,Open-Pollinated Seeds,Manual,Sprinkler Irrigation,Organic Fertilizers,Medium
Black Soil,23.57,283.8,Kharif,Genetically Modified (GM) Seeds,Machine,Drip Irrigation,Bioinputs Fertilizers,High
Saline and Alkaline Soil,16.88,1001.8,Kharif,Genetically Modified (GM) Seeds,Manual,Canal Irrigation,Chemical Fertilizers,Very High
Alluvial Soil,17.13,1458.2,Kharif,Foundation Seeds,Manual,Tubewell Irrigation,Chemical Fertilizers,Very High
Alluvial Soil,9.37,865.2,Zaid,Open-Pollinated Seeds,Manual,Sprinkler Irrigation,Bioinputs Fertilizers,High
Red and Yellow Soil,15.04,1086.4,Zaid,Open-Pollinated Seeds,Manual,Tubewell Irrigation,Bioinputs Fertilizers,Medium
Laterite Soil,0.75,149.3,Zaid,Breeder Seeds,Machine,Well Irrigation,Bioinputs Fertilizers,Low
Black Soil,16.08,655.6,Kharif,Genetically Modified (GM) Seeds,Machine,Tubewell Irrigation,Organic Fertilizers,High
Black Soil,22.88,218.7,Zaid,Foundation Seeds,Manual,Sprinkler Irrigation,Bioinputs Fertilizers,Low
Saline and Alkaline Soil,15.51,938.6,Rabi,Hybrid Seeds,Machine,Sprinkler Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,21.91,1410.8,Zaid,Genetically Modified (GM) Seeds,Machine,Canal Irrigation,Chemical Fertilizers,High
Black Soil,18.24,1009.6,Kharif,Breeder Seeds,Machine,Tank Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,3.45,161.4,Rabi,Open-Pollinated Seeds,Machine,Canal Irrigation,Bioinputs Fertilizers,Low
Red and Yellow Soil,22.61,564.3,Zaid,Foundation Seeds,Manual,Well Irrigation,Organic Fertilizers,Medium
Black Soil,2.13,848.5,Rabi,Genetically Modified (GM) Seeds,Machine,Tubewell Irrigation,Bioinputs Fertilizers,Medium
Saline and Alkaline Soil,13.58,634.7,Rabi,Hybrid Seeds,Manual,Tank Irrigation,Organic Fertilizers,Medium
Black Soil,3.98,1258.8,Kharif,Breeder Seeds,Manual,Drip Irrigation,Chemical Fertilizers,Very High
Laterite Soil,0.79,1231.3,Rabi,Breeder Seeds,Machine,Sprinkler Irrigation,Organic Fertilizers,Very High
Alluvial Soil,10.84,937.2,Rabi,Genetically Modified (GM) Seeds,Manual,Tank Irrigation,Chemical Fertilizers,High
Black Soil,7.73,591.5,Kharif,Hybrid Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,Low
Alluvial Soil,12.41,420.2,Kharif,Breeder Seeds,Machine,Canal Irrigation,Chemical Fertilizers,Medium
Saline and Alkaline Soil,14.64,203.5,Kharif,Foundation Seeds,Manual,Drip Irrigation,Bioinputs Fertilizers,High
Alluvial Soil,1.57,564.6,Rabi,Breeder Seeds,Machine,Sprinkler Irrigation,Bioinputs Fertilizers,Low
Black Soil,3.51,649.1,Rabi,Hybrid Seeds,Manual,Well Irrigation,Chemical Fertilizers,Low
Laterite Soil,14.19,1029.9,Rabi,Open-Pollinated Seeds,Manual,Well Irrigation,Chemical Fertilizers,Medium
Saline and Alkaline Soil,8.91,1004.3,Kharif,Open-Pollinated Seeds,Machine,Tank Irrigation,Organic Fertilizers,High
Black Soil,18.36,151.7,Zaid,Genetically Modified (GM) Seeds,Machine,Tank Irrigation,Organic Fertilizers,Medium
Saline and Alkaline Soil,16.48,623.1,Rabi,Hybrid Seeds,Machine,Tubewell Irrigation,Chemical Fertilizers,Low
Red and Yellow Soil,21.22,313.6,Zaid,Breeder Seeds,Manual,Drip Irrigation,Chemical Fertilizers,Medium
Alluvial Soil,17.47,277.4,Kharif,Breeder Seeds,Machine,Sprinkler Irrigation,Chemical Fertilizers,High
Red and Yellow Soil,11.03,1249.6,Rabi,Open-Pollinated Seeds,Manual,Tank Irrigation,Chemical Fertilizers,Medium
Black Soil,16.99,110.8,Zaid,Open-Pollinated Seeds,Manual,Tubewell Irrigation,Bioinputs Fertilizers,Low
Laterite Soil,7.25,657.8,Rabi,Foundation Seeds,Machine,Drip Irrigation,Chemical Fertilizers,Medium
Saline and Alkaline Soil,8.0,293.9,Rabi,Open-Pollinated Seeds,Machine,Sprinkler Irrigation,Chemical Fertilizers,Low
Alluvial Soil,19.83,1325.0,Rabi,Foundation Seeds,Machine,Well Irrigation,Chemical Fertilizers,High
Saline and Alkaline Soil,11.44,857.7,Zaid,Breeder Seeds,Manual,Tubewell Irrigation,Chemical Fertilizers,High
Black Soil,20.06,385.5,Kharif,Foundation Seeds,Machine,Drip Irrigation,Bioinputs Fertilizers,High
Saline and Alkaline Soil,20.65,778.5,Rabi,Foundation Seeds,Manual,Tubewell Irrigation,Organic Fertilizers,Medium
Alluvial Soil,21.51,1110.7,Kharif,Genetically Modified (GM) Seeds,Machine,Tank Irrigation,Organic Fertilizers,Very High
Black Soil,22.96,1439.3,Kharif,Open-Pollinated Seeds,Machine,Canal Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,11.06,369.6,Zaid,Foundation Seeds,Manual,Well Irrigation,Organic Fertilizers,Low
Laterite Soil,8.31,1335.0,Zaid,Breeder Seeds,Manual,Tank Irrigation,Organic Fertilizers,Very High
Black Soil,14.76,1404.7,Kharif,Hybrid Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,High
Black Soil,9.59,1378.8,Rabi,Foundation Seeds,Machine,Drip Irrigation,Organic Fertilizers,Very High
Laterite Soil,15.23,971.4,Zaid,Open-Pollinated Seeds,Machine,Tubewell Irrigation,Bioinputs Fertilizers,High
Red and Yellow Soil,17.79,963.2,Rabi,Genetically Modified (GM) Seeds,Machine,Well Irrigation,Bioinputs Fertilizers,High
Alluvial Soil,17.37,634.7,Rabi,Breeder Seeds,Machine,Tank Irrigation,Organic Fertilizers,High
Red and Yellow Soil,9.68,1141.0,Rabi,Genetically Modified (GM) Seeds,Manual,Drip Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,4.59,820.4,Kharif,Hybrid Seeds,Manual,Well Irrigation,Organic Fertilizers,Very High
Laterite Soil,11.05,1032.3,Rabi,Foundation Seeds,Manual,Tubewell Irrigation,Chemical Fertilizers,Medium
Red and Yellow Soil,3.99,671.3,Kharif,Foundation Seeds,Manual,Tank Irrigation,Bioinputs Fertilizers,Medium
Black Soil,22.31,1110.7,Kharif,Open-Pollinated Seeds,Machine,Sprinkler Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,8.97,1245.5,Rabi,Foundation Seeds,Manual,Tank Irrigation,Chemical Fertilizers,Medium
Saline and Alkaline Soil,4.28,262.3,Rabi,Breeder Seeds,Manual,Tank Irrigation,Bioinputs Fertilizers,Low
Red and Yellow Soil,1.12,1257.7,Rabi,Hybrid Seeds,Manual,Well Irrigation,Chemical Fertilizers,Low
Red and Yellow Soil,16.32,833.4,Rabi,Genetically Modified (GM) Seeds,Machine,Well Irrigation,Chemical Fertilizers,Very High
Laterite Soil,16.1,1274.8,Kharif,Hybrid Seeds,Manual,Well Irrigation,Organic Fertilizers,Very High
Alluvial Soil,8.84,675.4,Rabi,Foundation Seeds,Machine,Well Irrigation,Bioinputs Fertilizers,Low
Red and Yellow Soil,2.26,599.6,Rabi,Genetically Modified (GM) Seeds,Manual,Drip Irrigation,Chemical Fertilizers,Low
Red and Yellow Soil,10.54,1376.8,Kharif,Open-Pollinated Seeds,Machine,Canal Irrigation,Bioinputs Fertilizers,High
Black Soil,8.12,414.2,Zaid,Hybrid Seeds,Manual,Drip Irrigation,Organic Fertilizers,High
Saline and Alkaline Soil,17.09,1274.1,Zaid,Genetically Modified (GM) Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,Medium
Alluvial Soil,15.34,751.8,Kharif,Genetically Modified (GM) Seeds,Manual,Drip Irrigation,Chemical Fertilizers,Very High
Black Soil,9.43,795.4,Zaid,Genetically Modified (GM) Seeds,Machine,Tubewell Irrigation,Chemical Fertilizers,Low
Laterite Soil,5.84,497.3,Kharif,Breeder Seeds,Machine,Sprinkler Irrigation,Bioinputs Fertilizers,Medium
Laterite Soil,24.71,880.9,Rabi,Hybrid Seeds,Manual,Well Irrigation,Chemical Fertilizers,Medium
Red and Yellow Soil,11.62,521.6,Rabi,Genetically Modified (GM) Seeds,Machine,Tubewell Irrigation,Chemical Fertilizers,Low
Red and Yellow Soil,17.36,106.9,Zaid,Hybrid Seeds,Machine,Sprinkler Irrigation,Chemical Fertilizers,Low
Laterite Soil,3.94,444.4,Rabi,Genetically Modified (GM) Seeds,Manual,Tubewell Irrigation,Organic Fertilizers,Low
Red and Yellow Soil,12.4,59.2,Zaid,Open-Pollinated Seeds,Manual,Tank Irrigation,Organic Fertilizers,Medium
Alluvial Soil,1.17,1468.6,Zaid,Open-Pollinated Seeds,Machine,Well Irrigation,Chemical Fertilizers,High
Red and Yellow Soil,12.88,1450.3,Rabi,Open-Pollinated Seeds,Manual,Tubewell Irrigation,Bioinputs Fertilizers,Medium
Saline and Alkaline Soil,24.12,623.0,Rabi,Foundation Seeds,Manual,Tank Irrigation,Organic Fertilizers,Medium
Red and Yellow Soil,9.91,1106.1,Zaid,Genetically Modified (GM) Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,Medium
Black Soil,1.46,551.4,Rabi,Foundation Seeds,Machine,Canal Irrigation,Chemical Fertilizers,Low
Alluvial Soil,1.26,1023.1,Kharif,Hybrid Seeds,Machine,Tank Irrigation,Chemical Fertilizers,Very High
Black Soil,10.01,1217.9,Rabi,Foundation Seeds,Machine,Drip Irrigation,Bioinputs Fertilizers,High
Black Soil,4.42,1422.8,Rabi,Hybrid Seeds,Machine,Well Irrigation,Organic Fertilizers,Medium
Saline and Alkaline Soil,1.07,630.3,Kharif,Hybrid Seeds,Machine,Tubewell Irrigation,Bioinputs Fertilizers,Low
Alluvial Soil,19.03,1185.8,Rabi,Hybrid Seeds,Machine,Sprinkler Irrigation,Bioinputs Fertilizers,High
Alluvial Soil,11.73,435.6,Rabi,Foundation Seeds,Machine,Tubewell Irrigation,Chemical Fertilizers,Low
Alluvial Soil,7.59,1486.0,Zaid,Genetically Modified (GM) Seeds,Manual,Drip Irrigation,Organic Fertilizers,Very High
Alluvial Soil,22.55,87.4,Rabi,Foundation Seeds,Machine,Drip Irrigation,Bioinputs Fertilizers,High
Alluvial Soil,3.35,925.1,Rabi,Genetically Modified (GM) Seeds,Machine,Tubewell Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,23.92,1006.3,Kharif,Genetically Modified (GM) Seeds,Manual,Sprinkler Irrigation,Chemical Fertilizers,Very High
Red and Yellow Soil,8.19,1047.7,Zaid,Hybrid Seeds,Manual,Well Irrigation,Organic Fertilizers,High
Black Soil,22.27,224.6,Zaid,Foundation Seeds,Manual,Tank Irrigation,Chemical Fertilizers,Low
Alluvial Soil,15.27,1410.9,Zaid,Genetically Modified (GM) Seeds,Machine,Drip Irrigation,Organic Fertilizers,Very High
Red and Yellow Soil,20.75,312.7,Rabi,Open-Pollinated Seeds,Manual,Drip Irrigation,Bioinputs Fertilizers,Medium
Red and Yellow Soil,24.61,953.0,Zaid,Genetically Modified (GM) Seeds,Machine,Drip Irrigation,Chemical Fertilizers,High
Black Soil,7.57,372.9,Kharif,Open-Pollinated Seeds,Machine,Sprinkler Irrigation,Bioinputs Fertilizers,Medium
Saline and Alkaline Soil,24.05,495.5,Zaid,Foundation Seeds,Machine,Canal Irrigation,Chemical Fertilizers,Low
Laterite Soil,10.04,842.4,Kharif,Foundation Seeds,Manual,Sprinkler Irrigation,Organic Fertilizers,High
Laterite Soil,9.95,654.9,Zaid,Foundation Seeds,Manual,Well Irrigation,Organic Fertilizers,Medium
Red and Yellow Soil,8.84,282.3,Zaid,Genetically Modified (GM) Seeds,Machine,Well Irrigation,Chemical Fertilizers,Low
Black Soil,13.76,297.9,Kharif,Breeder Seeds,Machine,Well Irrigation,Chemical Fertilizers,Medium
Laterite Soil,4.28,656.3,Zaid,Genetically Modified (GM) Seeds,Machine,Well Irrigation,Chemical Fertilizers,Medium
Red and Yellow Soil,14.07,1148.1,Zaid,Genetically Modified (GM) Seeds,Manual,Well Irrigation,Organic Fertilizers,High
Saline and Alkaline Soil,13.77,1352.0,Zaid,Hybrid Seeds,Machine,Tubewell Irrigation,Chemical Fertilizers,Medium
Laterite Soil,19.17,172.0,Rabi,Hybrid Seeds,Manual,Drip Irrigation,Chemical Fertilizers,Low
Red and Yellow Soil,20.92,620.0,Kharif,Genetically Modified (GM) Seeds,Machine,Sprinkler Irrigation,Bioinputs Fertilizers,Medium
Red and Yellow Soil,11.29,195.4,Zaid,Open-Pollinated Seeds,Manual,Tubewell Irrigation,Chemical Fertilizers,Low
Alluvial Soil,7.91,74.1,Kharif,Hybrid Seeds,Machine,Sprinkler Irrigation,Bioinputs Fertilizers,Medium
Saline and Alkaline Soil,6.85,1009.5,Kharif,Genetically Modified (GM) Seeds,Manual,Canal Irrigation,Bioinputs Fertilizers,Medium
Alluvial Soil,5.27,923.6,Kharif,Breeder Seeds,Manual,Tank Irrigation,Bioinputs Fertilizers,Very High
Black Soil,1.91,286.4,Zaid,Open-Pollinated Seeds,Manual,Drip Irrigation,Organic Fertilizers,High
Alluvial Soil,8.89,389.0,Zaid,Foundation Seeds,Manual,Canal Irrigation,Bioinputs Fertilizers,Medium
Alluvial Soil,7.12,84.4,Kharif,Genetically Modified (GM) Seeds,Manual,Tubewell Irrigation,Chemical Fertilizers,Medium
Laterite Soil,24.18,1260.7,Rabi,Genetically Modified (GM) Seeds,Manual,Tank Irrigation,Organic Fertilizers,Very High
Red and Yellow Soil,14.16,1463.3,Kharif,Open-Pollinated Seeds,Machine,Canal Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,9.01,246.4,Rabi,Hybrid Seeds,Machine,Sprinkler Irrigation,Organic Fertilizers,Low
Alluvial Soil,14.72,385.6,Kharif,Hybrid Seeds,Machine,Tank Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,3.91,1309.2,Kharif,Hybrid Seeds,Machine,Sprinkler Irrigation,Organic Fertilizers,High
Alluvial Soil,11.38,1393.4,Kharif,Foundation Seeds,Manual,Canal Irrigation,Organic Fertilizers,Very High
Black Soil,15.84,658.5,Zaid,Open-Pollinated Seeds,Machine,Tubewell Irrigation,Organic Fertilizers,Medium
Alluvial Soil,12.48,123.4,Rabi,Open-Pollinated Seeds,Manual,Sprinkler Irrigation,Bioinputs Fertilizers,Medium
Laterite Soil,10.34,107.1,Rabi,Hybrid Seeds,Manual,Tank Irrigation,Chemical Fertilizers,Low
Red and Yellow Soil,24.85,882.2,Kharif,Hybrid Seeds,Manual,Canal Irrigation,Chemical Fertilizers,High
Black Soil,22.07,619.7,Zaid,Breeder Seeds,Machine,Sprinkler Irrigation,Bioinputs Fertilizers,Low
Alluvial Soil,15.77,91.5,Zaid,Breeder Seeds,Manual,Tubewell Irrigation,Bioinputs Fertilizers,Medium
Saline and Alkaline Soil,14.45,895.7,Rabi,Genetically Modified (GM) Seeds,Machine,Drip Irrigation,Organic Fertilizers,Very High
Black Soil,15.71,66.4,Zaid,Genetically Modified (GM) Seeds,Machine,Tubewell Irrigation,Organic Fertilizers,Medium
Black Soil,5.43,1191.7,Rabi,Open-Pollinated Seeds,Machine,Tubewell Irrigation,Bioinputs Fertilizers,Medium
Alluvial Soil,10.18,494.3,Rabi,Open-Pollinated Seeds,Machine,Drip Irrigation,Organic Fertilizers,Very High
Black Soil,1.47,108.4,Rabi,Foundation Seeds,Machine,Tubewell Irrigation,Chemical Fertilizers,Low
Saline and Alkaline Soil,12.15,903.1,Zaid,Foundation Seeds,Manual,Drip Irrigation,Chemical Fertilizers,High
Black Soil,13.8,626.6,Rabi,Breeder Seeds,Manual,Drip Irrigation,Organic Fertilizers,Medium
Saline and Alkaline Soil,6.08,1462.0,Rabi,Genetically Modified (GM) Seeds,Machine,Sprinkler Irrigation,Organic Fertilizers,Very High
Alluvial Soil,24.12,839.1,Kharif,Breeder Seeds,Manual,Sprinkler Irrigation,Organic Fertilizers,Very High
Red and Yellow Soil,22.78,449.1,Rabi,Breeder Seeds,Machine,Drip Irrigation,Chemical Fertilizers,Medium
Black Soil,18.19,1078.7,Rabi,Genetically Modified (GM) Seeds,Manual,Canal Irrigation,Organic Fertilizers,High
Red and Yellow Soil,13.57,443.7,Kharif,Foundation Seeds,Manual,Tank Irrigation,Bioinputs Fertilizers,Medium
Saline and Alkaline Soil,21.81,1361.2,Kharif,Genetically Modified (GM) Seeds,Manual,Canal Irrigation,Organic Fertilizers,Very High
Black Soil,3.7,593.3,Zaid,Hybrid Seeds,Manual,Drip Irrigation,Bioinputs Fertilizers,Medium
Laterite Soil,19.87,847.3,Rabi,Hybrid Seeds,Manual,Tank Irrigation,Organic Fertilizers,Very High
Red and Yellow Soil,3.56,123.3,Zaid,Hybrid Seeds,Manual,Sprinkler Irrigation,Organic Fertilizers,Medium
Black Soil,19.96,667.9,Zaid,Open-Pollinated Seeds,Manual,Tank Irrigation,Chemical Fertilizers,Low
Red and Yellow Soil,7.26,1256.9,Kharif,Foundation Seeds,Manual,Drip Irrigation,Bioinputs Fertilizers,Very High
Black Soil,21.99,1218.2,Zaid,Foundation Seeds,Manual,Sprinkler Irrigation,Bioinputs Fertilizers,Medium
Alluvial Soil,23.63,375.3,Rabi,Open-Pollinated Seeds,Manual,Tank Irrigation,Bioinputs Fertilizers,High
Red and Yellow Soil,4.15,377.8,Kharif,Breeder Seeds,Manual,Tank Irrigation,Chemical Fertilizers,Low
Laterite Soil,11.84,1235.1,Rabi,Hybrid Seeds,Manual,Canal Irrigation,Bioinputs Fertilizers,Medium
Laterite Soil,24.53,1399.1,Rabi,Hybrid Seeds,Manual,Tank Irrigation,Chemical Fertilizers,Medium
Saline and Alkaline Soil,12.34,188.3,Kharif,Breeder Seeds,Machine,Drip Irrigation,Organic Fertilizers,High
Black Soil,21.66,702.6,Rabi,Genetically Modified (GM) Seeds,Manual,Well Irrigation,Organic Fertilizers,Medium
Red and Yellow Soil,14.92,539.3,Kharif,Genetically Modified (GM) Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,Medium
Saline and Alkaline Soil,9.7,1312.5,Rabi,Foundation Seeds,Manual,Well Irrigation,Organic Fertilizers,Very High
Red and Yellow Soil,7.5,171.1,Kharif,Open-Pollinated Seeds,Manual,Drip Irrigation,Organic Fertilizers,High
Black Soil,5.48,356.1,Zaid,Foundation Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,Low
Laterite Soil,19.16,1141.1,Rabi,Genetically Modified (GM) Seeds,Manual,Canal Irrigation,Organic Fertilizers,Very High
Alluvial Soil,9.97,124.4,Kharif,Breeder Seeds,Machine,Drip Irrigation,Bioinputs Fertilizers,High
Laterite Soil,13.03,764.2,Rabi,Foundation Seeds,Machine,Sprinkler Irrigation,Bioinputs Fertilizers,Low
Saline and Alkaline Soil,12.56,691.1,Rabi,Hybrid Seeds,Machine,Drip Irrigation,Organic Fertilizers,Medium
Alluvial Soil,14.64,534.9,Rabi,Hybrid Seeds,Manual,Drip Irrigation,Organic Fertilizers,High
Saline and Alkaline Soil,21.71,622.1,Kharif,Breeder Seeds,Manual,Tank Irrigation,Organic Fertilizers,High
Black Soil,24.53,818.4,Zaid,Genetically Modified (GM) Seeds,Manual,Tank Irrigation,Organic Fertilizers,Very High
Alluvial Soil,10.49,284.0,Zaid,Hybrid Seeds,Machine,Tank Irrigation,Organic Fertilizers,Medium
Saline and Alkaline Soil,20.77,879.4,Zaid,Hybrid Seeds,Manual,Tubewell Irrigation,Chemical Fertilizers,Medium
Black Soil,19.23,1217.9,Kharif,Open-Pollinated Seeds,Manual,Canal Irrigation,Organic Fertilizers,Very High
Laterite Soil,14.55,1152.2,Zaid,Foundation Seeds,Machine,Drip Irrigation,Chemical Fertilizers,High
Black Soil,23.92,273.2,Kharif,Genetically Modified (GM) Seeds,Machine,Drip Irrigation,Bioinputs Fertilizers,High
Red and Yellow Soil,5.41,266.4,Rabi,Foundation Seeds,Manual,Tank Irrigation,Organic Fertilizers,Medium
Black Soil,3.18,438.9,Rabi,Genetically Modified (GM) Seeds,Manual,Drip Irrigation,Organic Fertilizers,High
Black Soil,21.42,573.6,Zaid,Hybrid Seeds,Manual,Sprinkler Irrigation,Organic Fertilizers,Medium
Red and Yellow Soil,11.26,642.3,Kharif,Open-Pollinated Seeds,Manual,Drip Irrigation,Bioinputs Fertilizers,High
Saline and Alkaline Soil,21.25,1035.6,Rabi,Foundation Seeds,Machine,Well Irrigation,Chemical Fertilizers,Medium
Saline and Alkaline Soil,22.38,132.2,Kharif,Hybrid Seeds,Manual,Sprinkler Irrigation,Chemical Fertilizers,High
Black Soil,2.03,100.3,Kharif,Genetically Modified (GM) Seeds,Manual,Sprinkler Irrigation,Organic Fertilizers,Medium
Red and Yellow Soil,22.14,618.3,Rabi,Foundation Seeds,Machine,Drip Irrigation,Organic Fertilizers,Very High
Red and Yellow Soil,11.48,1060.9,Kharif,Foundation Seeds,Manual,Tubewell Irrigation,Organic Fertilizers,Very High
Laterite Soil,13.01,330.5,Rabi,Hybrid Seeds,Manual,Tank Irrigation,Organic Fertilizers,Medium
Saline and Alkaline Soil,15.85,980.2,Rabi,Foundation Seeds,Machine,Canal Irrigation,Bioinputs Fertilizers,Medium
Alluvial Soil,23.2,426.8,Rabi,Open-Pollinated Seeds,Machine,Canal Irrigation,Organic Fertilizers,Medium
Saline and Alkaline Soil,0.97,1334.8,Kharif,Open-Pollinated Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,Medium
Saline and Alkaline Soil,12.18,1348.8,Rabi,Hybrid Seeds,Machine,Canal Irrigation,Organic Fertilizers,Medium
Laterite Soil,17.35,481.1,Kharif,Genetically Modified (GM) Seeds,Machine,Canal Irrigation,Chemical Fertilizers,Medium
Alluvial Soil,18.21,383.5,Rabi,Hybrid Seeds,Manual,Tank Irrigation,Chemical Fertilizers,Medium
Laterite Soil,17.47,646.4,Rabi,Open-Pollinated Seeds,Machine,Tank Irrigation,Organic Fertilizers,High
Alluvial Soil,3.79,398.8,Zaid,Breeder Seeds,Manual,Tubewell Irrigation,Organic Fertilizers,Medium
Black Soil,7.84,1025.0,Zaid,Breeder Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,Medium
