Ownership of Land,Land Owned (in acres),Location,Types of Fertilizers Used,Owning Farming Equipment,Annual Income (in INR),Bank Loan (in INR),Ownership of Livestock,Previous Subsidy Eligibility,Subsidy Eligibility
No,12.09,Gujarat,Organic,No,58041.82,34028.55,No,Yes,NFSM
Yes,0.62,Madhya Pradesh,Bioinputs,Yes,268140.41,63220.98,Yes,Yes,Soil Health Card Scheme
Yes,23.44,Chhattisgarh,Organic,No,37978.55,84898.57,No,Yes,Soil Health Card Scheme
No,15.06,Uttar Pradesh,Chemical,Yes,64166.15,61864.84,Yes,No,NFSM
Yes,29.92,Mizoram,Organic,Yes,117500.8,56127.12,Yes,Yes,Soil Health Card Scheme
No,14.86,Assam,Bioinputs,No,237531.62,194445.94,Yes,Yes,Kisan Credit Card Subsidy
No,15.0,Gujarat,Chemical,No,222292.96,30672.97,Yes,No,PM Krishi Sinchayee Yojana
No,37.16,Uttar Pradesh,Bioinputs,Yes,401849.01,146665.58,Yes,No,PM Krishi Sinchayee Yojana
No,2.41,Mizoram,Bioinputs,Yes,372342.58,82.06,No,No,Kisan Credit Card Subsidy
Yes,45.14,Gujarat,Chemical,Yes,218895.96,119236.53,No,Yes,NFSM
No,42.61,Rajasthan,Bioinputs,Yes,173515.06,183188.6,Yes,No,Kisan Credit Card Subsidy
Yes,33.39,Andhra Pradesh,Bioinputs,No,165069.7,57586.82,No,No,NFSM
No,29.66,Mizoram,Organic,Yes,389257.59,37105.2,No,No,PM Krishi Sinchayee Yojana
Yes,44.62,Puducherry,Bioinputs,Yes,35515.48,130335.96,Yes,No,NFSM
No,9.27,Mizoram,Bioinputs,Yes,16282.61,142520.28,No,No,Kisan Credit Card Subsidy
Yes,3.95,Karnataka,Bioinputs,No,399816.75,137606.1,No,No,Kisan Credit Card Subsidy
Yes,11.98,Tripura,Bioinputs,Yes,243801.72,63863.38,No,Yes,NFSM
No,39.73,Uttarakhand,Chemical,No,74131.76,50440.48,No,No,Kisan Credit Card Subsidy
No,1.73,Delhi,Organic,No,125427.31,191183.76,Yes,Yes,RKVY
No,29.14,Assam,Bioinputs,No,466926.94,184659.9,No,Yes,Kisan Credit Card Subsidy
No,49.77,Manipur,Bioinputs,No,431156.46,91463.32,Yes,No,PM Krishi Sinchayee Yojana
Yes,42.78,Delhi,Chemical,No,357794.67,169238.77,Yes,Yes,NFSM
No,26.07,Rajasthan,Bioinputs,No,246290.36,90464.7,No,Yes,Kisan Credit Card Subsidy
Yes,3.18,Karnataka,Chemical,No,264958.58,84877.8,Yes,Yes,RKVY
Yes,41.57,Uttar Pradesh,Organic,Yes,487869.82,31352.59,No,No,PM Krishi Sinchayee Yojana
No,29.95,West Bengal,Organic,Yes,483227.52,85281.21,Yes,Yes,Kisan Credit Card Subsidy
Yes,5.75,Meghalaya,Bioinputs,No,115481.83,107483.39,No,Yes,Soil Health Card Scheme
Yes,4.69,Tripura,Bioinputs,Yes,407441.24,4500.87,No,Yes,Kisan Credit Card Subsidy
Yes,45.48,Sikkim,Bioinputs,Yes,106648.91,88822.6,Yes,Yes,Soil Health Card Scheme
Yes,33.46,West Bengal,Chemical,No,114633.36,156271.24,No,No,NFSM
No,41.46,Himachal Pradesh,Bioinputs,Yes,341285.59,136009.21,No,No,Kisan Credit Card Subsidy
No,43.95,Telangana,Bioinputs,No,208450.54,127031.4,No,Yes,PM Krishi Sinchayee Yojana
No,28.59,Telangana,Organic,Yes,466456.76,181911.09,No,No,PM Krishi Sinchayee Yojana
No,25.87,Andhra Pradesh,Bioinputs,No,53614.77,3606.4,Yes,No,Kisan Credit Card Subsidy
Yes,21.52,Delhi,Organic,No,260647.56,111409.52,Yes,Yes,Kisan Credit Card Subsidy
Yes,15.85,Tripura,Bioinputs,Yes,460075.55,157469.77,Yes,No,Kisan Credit Card Subsidy
No,21.73,Sikkim,Organic,Yes,453015.69,108267.08,No,No,PM Krishi Sinchayee Yojana
No,38.69,Meghalaya,Bioinputs,No,86699.31,64779.11,Yes,Yes,Soil Health Card Scheme
No,30.1,Himachal Pradesh,Organic,No,189652.47,27250.11,No,Yes,Kisan Credit Card Subsidy
Yes,44.63,Odisha,Chemical,No,313369.49,177512.61,No,No,Kisan Credit Card Subsidy
No,22.17,Kerala,Organic,Yes,88103.49,94152.48,No,No,Kisan Credit Card Subsidy
No,30.35,Odisha,Organic,Yes,484330.86,175623.04,Yes,No,PM Krishi Sinchayee Yojana
No,31.57,Sikkim,Organic,Yes,458227.17,117170.42,Yes,No,PM Krishi Sinchayee Yojana
Yes,29.58,Himachal Pradesh,Bioinputs,Yes,91805.59,134838.42,Yes,Yes,RKVY
Yes,35.13,Gujarat,Bioinputs,No,69366.18,160852.23,Yes,Yes,Soil Health Card Scheme
Yes,11.87,Maharashtra,Bioinputs,No,51850.16,131831.11,No,Yes,RKVY
Yes,25.62,Delhi,Chemical,No,455627.4,79610.97,Yes,Yes,Kisan Credit Card Subsidy
Yes,5.21,Odisha,Chemical,No,104875.67,102726.68,Yes,Yes,RKVY
Yes,19.23,Odisha,Organic,Yes,213979.61,160609.1,Yes,No,Kisan Credit Card Subsidy
Yes,24.38,Arunachal Pradesh,Chemical,No,229937.17,74730.06,Yes,No,Kisan Credit Card Subsidy
Yes,32.61,Himachal Pradesh,Organic,No,303515.41,77624.29,No,Yes,Kisan Credit Card Subsidy
No,47.53,Madhya Pradesh,Organic,Yes,45150.32,19138.02,Yes,Yes,Kisan Credit Card Subsidy
No,30.03,Manipur,Organic,Yes,121111.72,182916.89,Yes,Yes,NFSM
Yes,37.18,Assam,Chemical,No,466430.29,18207.26,Yes,No,PM Krishi Sinchayee Yojana
Yes,25.31,Karnataka,Bioinputs,Yes,455120.95,129641.84,No,No,PM Krishi Sinchayee Yojana
No,31.71,Rajasthan,Chemical,No,392832.42,82638.9,Yes,No,PM Krishi Sinchayee Yojana
Yes,3.55,Maharashtra,Organic,Yes,19506.61,81123.88,Yes,Yes,RKVY
Yes,12.72,Puducherry,Organic,Yes,170233.32,135910.37,Yes,Yes,RKVY
Yes,18.09,Tripura,Chemical,No,317699.78,13418.75,No,Yes,NFSM
No,23.62,Haryana,Organic,Yes,144843.2,118741.16,No,Yes,NFSM
No,2.28,Nagaland,Organic,No,455697.48,154406.36,Yes,Yes,NFSM
No,7.0,Odisha,Chemical,Yes,320605.84,165642.55,Yes,No,PM Krishi Sinchayee Yojana
No,13.84,Meghalaya,Chemical,Yes,45234.29,34106.08,No,Yes,Soil Health Card Scheme
No,48.58,Arunachal Pradesh,Chemical,Yes,455412.74,179483.81,No,No,PM Krishi Sinchayee Yojana
Yes,16.57,Haryana,Organic,Yes,479305.66,131229.22,No,No,PM Krishi Sinchayee Yojana
No,24.1,Sikkim,Organic,Yes,48079.09,176370.96,No,No,Kisan Credit Card Subsidy
Yes,9.8,Goa,Bioinputs,No,270856.52,97056.14,No,No,PM Krishi Sinchayee Yojana
Yes,30.54,Kerala,Bioinputs,Yes,158648.5,108406.67,Yes,No,Soil Health Card Scheme
No,14.03,Manipur,Chemical,No,202491.15,183807.66,Yes,Yes,Kisan Credit Card Subsidy
No,10.35,Tripura,Bioinputs,Yes,98029.1,179981.91,Yes,Yes,Soil Health Card Scheme
Yes,25.83,Haryana,Organic,No,293255.33,89632.17,Yes,Yes,Kisan Credit Card Subsidy
Yes,0.28,Bihar,Bioinputs,Yes,479409.88,54882.53,No,No,NFSM
Yes,0.38,Manipur,Organic,No,256505.57,78634.09,No,No,NFSM
No,10.95,West Bengal,Chemical,No,50628.14,77552.87,No,No,Kisan Credit Card Subsidy
No,1.84,Punjab,Chemical,Yes,313800.65,57373.37,No,No,Kisan Credit Card Subsidy
No,5.4,Tripura,Organic,Yes,176709.27,53715.92,No,No,NFSM
No,16.94,Mizoram,Bioinputs,Yes,429403.34,172212.59,Yes,No,PM Krishi Sinchayee Yojana
No,40.13,Madhya Pradesh,Chemical,No,222992.29,13972.38,Yes,Yes,Kisan Credit Card Subsidy
Yes,28.6,Nagaland,Chemical,No,104491.41,135522.24,Yes,No,NFSM
No,25.63,Arunachal Pradesh,Bioinputs,Yes,103641.76,34564.01,Yes,No,Kisan Credit Card Subsidy
Yes,14.67,Madhya Pradesh,Bioinputs,Yes,386694.45,68901.18,Yes,Yes,NFSM
Yes,46.59,Madhya Pradesh,Organic,No,140137.92,12308.61,No,No,PM Krishi Sinchayee Yojana
Yes,19.85,Sikkim,Bioinputs,No,385944.36,53994.73,No,Yes,NFSM
No,4.35,Manipur,Bioinputs,Yes,110884.78,153684.21,No,Yes,Soil Health Card Scheme
No,30.85,Punjab,Bioinputs,No,167626.32,177003.06,No,Yes,NFSM
No,5.69,Delhi,Organic,Yes,238088.62,44305.43,No,No,PM Krishi Sinchayee Yojana
Yes,17.26,Uttarakhand,Organic,Yes,472165.97,92709.57,Yes,Yes,NFSM
Yes,25.37,Jharkhand,Chemical,Yes,466548.4,94064.81,Yes,Yes,NFSM
Yes,43.71,Delhi,Organic,No,111367.22,174715.06,Yes,No,NFSM
Yes,24.68,Assam,Chemical,No,185527.33,152559.81,No,Yes,NFSM
Yes,35.11,Odisha,Bioinputs,No,83205.7,102615.44,No,No,NFSM
Yes,49.64,Assam,Chemical,No,259892.69,134149.44,No,No,Kisan Credit Card Subsidy
No,6.57,Sikkim,Chemical,Yes,235685.45,169471.01,No,Yes,PM Krishi Sinchayee Yojana
No,13.74,Maharashtra,Bioinputs,No,451372.48,1907.79,Yes,No,PM Krishi Sinchayee Yojana
No,19.73,Haryana,Chemical,Yes,465702.64,80578.01,No,No,PM Krishi Sinchayee Yojana
No,21.09,Uttarakhand,Organic,Yes,197948.02,181448.63,Yes,Yes,NFSM
Yes,20.55,Tamil Nadu,Organic,Yes,250951.59,148062.61,No,Yes,NFSM
Yes,45.38,Puducherry,Organic,No,449155.76,108568.27,Yes,Yes,Kisan Credit Card Subsidy
No,35.7,Bihar,Organic,Yes,405286.83,105928.91,No,Yes,Kisan Credit Card Subsidy
Yes,30.4,Uttarakhand,Chemical,Yes,11791.59,69554.02,No,No,NFSM
No,15.47,West Bengal,Chemical,No,166829.19,104104.11,Yes,Yes,Soil Health Card Scheme
No,41.19,Punjab,Bioinputs,Yes,216669.38,131076.64,Yes,Yes,PM Krishi Sinchayee Yojana
No,47.75,Karnataka,Chemical,No,122560.98,83672.61,No,Yes,NFSM
Yes,41.06,Uttar Pradesh,Chemical,No,107790.09,142830.63,Yes,No,Soil Health Card Scheme
No,0.08,Chandigarh,Chemical,No,28514.41,172246.45,No,No,NFSM
No,31.82,Karnataka,Bioinputs,Yes,325251.17,30936.97,No,No,PM Krishi Sinchayee Yojana
No,2.56,Uttarakhand,Organic,No,138630.04,90309.4,Yes,No,Soil Health Card Scheme
Yes,12.88,Puducherry,Chemical,No,35650.12,81604.02,No,No,NFSM
Yes,2.98,Karnataka,Bioinputs,No,123179.86,137492.96,No,Yes,RKVY
No,30.19,Arunachal Pradesh,Bioinputs,No,402937.84,49973.49,Yes,No,PM Krishi Sinchayee Yojana
Yes,34.33,Puducherry,Bioinputs,Yes,427229.7,128050.18,No,No,PM Krishi Sinchayee Yojana
Yes,5.72,Mizoram,Organic,No,246702.46,175497.85,No,No,Kisan Credit Card Subsidy
Yes,19.19,Himachal Pradesh,Chemical,Yes,213874.63,83626.32,No,Yes,Kisan Credit Card Subsidy
Yes,22.81,West Bengal,Bioinputs,No,489148.31,182203.14,No,Yes,Kisan Credit Card Subsidy
Yes,18.45,Chandigarh,Organic,Yes,108276.68,198632.75,Yes,No,Soil Health Card Scheme
Yes,6.05,West Bengal,Bioinputs,No,115526.05,21218.41,Yes,Yes,Soil Health Card Scheme
Yes,20.95,Arunachal Pradesh,Bioinputs,Yes,153014.92,46610.64,Yes,No,NFSM
Yes,37.56,Delhi,Bioinputs,No,94651.09,190075.95,No,Yes,NFSM
Yes,3.55,Telangana,Bioinputs,Yes,195889.14,191665.54,Yes,Yes,RKVY
Yes,4.01,Manipur,Bioinputs,Yes,456308.77,19541.46,Yes,No,Kisan Credit Card Subsidy
No,17.74,Meghalaya,Organic,Yes,311520.44,2999.7,Yes,Yes,PM Krishi Sinchayee Yojana
No,47.09,Tripura,Chemical,No,211853.81,32220.0,No,No,PM Krishi Sinchayee Yojana
Yes,33.43,Bihar,Chemical,Yes,467861.29,199202.56,Yes,No,Kisan Credit Card Subsidy
No,33.93,Haryana,Chemical,Yes,33747.47,35999.92,Yes,No,Kisan Credit Card Subsidy
No,18.1,Himachal Pradesh,Chemical,Yes,113035.33,100509.52,No,Yes,NFSM
Yes,29.68,Uttar Pradesh,Organic,Yes,287285.42,169683.55,No,Yes,NFSM
Yes,0.51,Uttar Pradesh,Organic,No,311620.79,4080.32,No,No,PM Krishi Sinchayee Yojana
Yes,31.8,Chhattisgarh,Organic,Yes,29383.18,120897.8,No,No,Soil Health Card Scheme
No,45.66,Meghalaya,Bioinputs,Yes,207488.99,55405.09,No,Yes,Kisan Credit Card Subsidy
No,30.63,Madhya Pradesh,Bioinputs,Yes,328085.44,172466.98,No,No,PM Krishi Sinchayee Yojana
Yes,43.68,Puducherry,Bioinputs,No,352054.57,56692.23,Yes,Yes,Soil Health Card Scheme
Yes,36.2,Gujarat,Chemical,Yes,322688.55,137351.14,Yes,Yes,Soil Health Card Scheme
Yes,6.03,Uttar Pradesh,Bioinputs,Yes,167075.98,134843.93,No,Yes,NFSM
No,45.12,Punjab,Chemical,Yes,55824.86,44298.71,No,No,PM Krishi Sinchayee Yojana
No,3.32,Mizoram,Bioinputs,Yes,219285.1,6959.84,Yes,No,PM Krishi Sinchayee Yojana
No,26.7,Assam,Chemical,No,73089.67,81849.91,No,Yes,Kisan Credit Card Subsidy
No,7.11,Chhattisgarh,Bioinputs,Yes,474335.59,57838.63,No,No,PM Krishi Sinchayee Yojana
Yes,0.59,Odisha,Bioinputs,Yes,242833.72,161795.55,Yes,No,NFSM
Yes,21.1,Kerala,Organic,No,165457.0,160072.84,No,Yes,Soil Health Card Scheme
Yes,14.75,Delhi,Bioinputs,No,385488.99,91404.79,No,Yes,NFSM
Yes,24.3,Uttarakhand,Bioinputs,No,253994.81,121302.45,Yes,No,Kisan Credit Card Subsidy
No,28.86,Gujarat,Organic,Yes,161916.67,120851.9,Yes,Yes,NFSM
No,2.19,West Bengal,Chemical,No,407864.19,165431.63,Yes,No,PM Krishi Sinchayee Yojana
Yes,6.15,Himachal Pradesh,Organic,Yes,434904.55,85000.48,Yes,Yes,NFSM
Yes,27.93,Chandigarh,Organic,No,339774.0,55089.34,Yes,Yes,NFSM
No,17.16,West Bengal,Chemical,Yes,33012.57,53006.98,No,No,Kisan Credit Card Subsidy
Yes,36.46,Goa,Bioinputs,No,287498.21,107238.46,No,No,PM Krishi Sinchayee Yojana
No,32.61,Delhi,Chemical,Yes,384014.51,89829.64,No,No,PM Krishi Sinchayee Yojana
Yes,42.28,Uttar Pradesh,Bioinputs,No,76886.48,88024.15,No,No,NFSM
Yes,34.62,Mizoram,Bioinputs,Yes,122048.67,18227.47,No,No,NFSM
Yes,21.5,Meghalaya,Chemical,Yes,442422.6,143720.75,Yes,Yes,NFSM
Yes,33.65,Tamil Nadu,Organic,Yes,19859.64,42747.34,No,Yes,NFSM
Yes,13.77,Chandigarh,Chemical,Yes,378836.3,39390.73,No,No,Kisan Credit Card Subsidy
Yes,15.32,Assam,Bioinputs,Yes,242148.91,82551.66,No,Yes,Kisan Credit Card Subsidy
Yes,39.45,Rajasthan,Chemical,Yes,228918.36,45555.67,No,No,PM Krishi Sinchayee Yojana
No,22.32,Uttar Pradesh,Chemical,Yes,13477.3,116771.65,No,Yes,Soil Health Card Scheme
No,39.92,Bihar,Bioinputs,Yes,411505.13,74292.67,Yes,Yes,Kisan Credit Card Subsidy
No,41.12,Jharkhand,Organic,No,186314.2,89782.34,No,No,PM Krishi Sinchayee Yojana
No,42.88,Chhattisgarh,Chemical,Yes,274975.16,107433.86,No,No,PM Krishi Sinchayee Yojana
No,45.83,Rajasthan,Bioinputs,Yes,341877.34,40707.1,No,No,PM Krishi Sinchayee Yojana
Yes,21.55,Sikkim,Bioinputs,No,354288.49,31150.32,No,Yes,Kisan Credit Card Subsidy
Yes,15.94,Puducherry,Chemical,Yes,478430.23,176084.38,No,No,PM Krishi Sinchayee Yojana
No,29.11,Jharkhand,Organic,No,270356.58,86744.74,No,No,PM Krishi Sinchayee Yojana
Yes,18.56,Kerala,Chemical,Yes,205862.58,82418.72,Yes,No,Kisan Credit Card Subsidy
No,30.05,Jharkhand,Organic,No,477314.78,7122.43,No,No,PM Krishi Sinchayee Yojana
No,35.28,Delhi,Organic,No,324634.02,99595.26,Yes,No,PM Krishi Sinchayee Yojana
Yes,34.42,Madhya Pradesh,Organic,Yes,156093.67,110833.94,Yes,No,NFSM
Yes,18.73,Karnataka,Organic,No,71967.48,111768.17,No,Yes,Soil Health Card Scheme
Yes,8.34,Sikkim,Chemical,Yes,422851.71,141406.23,No,Yes,NFSM
No,21.53,Meghalaya,Bioinputs,Yes,187468.99,35496.37,No,Yes,Kisan Credit Card Subsidy
Yes,7.13,Haryana,Bioinputs,Yes,333630.16,50444.63,Yes,Yes,NFSM
No,44.5,Haryana,Bioinputs,Yes,240700.05,162146.09,No,No,PM Krishi Sinchayee Yojana
No,17.29,Uttarakhand,Bioinputs,No,107475.59,189434.12,No,No,Kisan Credit Card Subsidy
No,7.72,Tripura,Bioinputs,Yes,304826.44,27186.55,No,Yes,PM Krishi Sinchayee Yojana
Yes,1.27,Haryana,Bioinputs,No,39734.7,99529.91,Yes,Yes,RKVY
Yes,32.29,Madhya Pradesh,Chemical,No,212537.81,42835.25,Yes,Yes,NFSM
No,31.85,Uttarakhand,Organic,Yes,277841.32,12014.63,No,No,PM Krishi Sinchayee Yojana
Yes,17.03,Arunachal Pradesh,Bioinputs,Yes,223663.02,65100.67,Yes,No,Kisan Credit Card Subsidy
Yes,3.59,Puducherry,Chemical,Yes,376849.37,28737.53,No,No,Kisan Credit Card Subsidy
Yes,20.48,Puducherry,Bioinputs,Yes,415683.23,141986.61,Yes,Yes,NFSM
No,15.56,Kerala,Bioinputs,No,387909.11,106745.08,No,Yes,PM Krishi Sinchayee Yojana
No,33.86,Jharkhand,Organic,Yes,29018.34,28766.89,Yes,Yes,NFSM
Yes,30.29,Kerala,Organic,No,105123.1,1848.32,No,Yes,NFSM
No,18.23,Karnataka,Organic,Yes,272937.68,161631.41,No,Yes,Kisan Credit Card Subsidy
Yes,10.89,Manipur,Bioinputs,Yes,468062.8,35238.88,Yes,No,PM Krishi Sinchayee Yojana
Yes,49.4,Meghalaya,Bioinputs,Yes,419128.82,121243.33,Yes,No,NFSM
Yes,22.7,Mizoram,Bioinputs,Yes,422841.91,67384.38,Yes,No,NFSM
Yes,34.41,Uttar Pradesh,Organic,No,158572.01,117097.19,Yes,No,NFSM
No,7.03,Arunachal Pradesh,Chemical,No,220429.47,63130.73,Yes,No,Kisan Credit Card Subsidy
No,24.28,Nagaland,Bioinputs,Yes,240645.91,17387.91,No,Yes,PM Krishi Sinchayee Yojana
No,1.38,Kerala,Bioinputs,No,87112.08,44590.0,No,No,Kisan Credit Card Subsidy
Yes,25.27,Odisha,Bioinputs,No,25223.38,37611.71,Yes,Yes,RKVY
Yes,48.2,Uttar Pradesh,Chemical,Yes,473982.42,85603.87,No,No,Kisan Credit Card Subsidy
Yes,19.21,Tamil Nadu,Bioinputs,Yes,127949.17,131656.76,No,Yes,RKVY
No,1.95,Nagaland,Chemical,No,127574.96,52761.21,Yes,Yes,RKVY
Yes,1.55,Puducherry,Bioinputs,No,50855.74,2413.99,No,Yes,RKVY
No,19.4,Mizoram,Chemical,No,464968.8,103787.47,No,Yes,Kisan Credit Card Subsidy
No,8.0,Puducherry,Bioinputs,No,294071.19,121151.9,Yes,Yes,NFSM
No,1.17,Goa,Organic,Yes,336848.06,192574.1,Yes,Yes,NFSM
No,37.81,Tripura,Organic,Yes,456672.67,117894.16,No,No,PM Krishi Sinchayee Yojana
No,22.93,Manipur,Organic,No,179353.88,94234.51,Yes,Yes,NFSM
No,14.46,Assam,Organic,Yes,314538.58,114680.33,No,Yes,PM Krishi Sinchayee Yojana
Yes,45.0,Goa,Bioinputs,No,29011.73,185580.13,Yes,No,Soil Health Card Scheme
Yes,5.81,Assam,Organic,No,101518.54,165675.63,Yes,Yes,RKVY
No,47.8,Puducherry,Chemical,Yes,417310.44,64595.75,Yes,No,PM Krishi Sinchayee Yojana
No,15.7,Delhi,Organic,No,385716.49,47450.87,Yes,No,PM Krishi Sinchayee Yojana
Yes,44.42,Andhra Pradesh,Organic,No,181814.92,52526.72,No,Yes,Soil Health Card Scheme
No,30.15,Puducherry,Organic,Yes,194637.21,100884.21,Yes,Yes,NFSM
No,41.34,Madhya Pradesh,Bioinputs,Yes,271441.67,148809.89,Yes,No,PM Krishi Sinchayee Yojana
Yes,49.2,West Bengal,Organic,No,10118.09,100643.84,No,Yes,Soil Health Card Scheme
No,14.42,Rajasthan,Chemical,No,128209.72,13559.28,No,No,PM Krishi Sinchayee Yojana
No,48.06,Uttar Pradesh,Organic,Yes,112033.59,144716.14,No,Yes,NFSM
No,19.47,Maharashtra,Organic,No,132736.64,161194.03,No,No,Kisan Credit Card Subsidy
Yes,19.28,Madhya Pradesh,Organic,No,404893.86,57899.57,Yes,Yes,Kisan Credit Card Subsidy
Yes,17.02,Uttarakhand,Chemical,Yes,147040.19,132825.15,No,Yes,Soil Health Card Scheme
Yes,27.07,Bihar,Organic,Yes,103845.45,85318.38,Yes,No,Soil Health Card Scheme
No,7.71,Gujarat,Chemical,Yes,257089.1,177823.87,No,No,PM Krishi Sinchayee Yojana
No,27.69,Sikkim,Chemical,Yes,434166.07,169045.11,Yes,No,PM Krishi Sinchayee Yojana
Yes,27.09,Jharkhand,Organic,Yes,128261.35,105086.4,No,No,NFSM
No,38.1,Gujarat,Chemical,Yes,48482.76,138301.11,Yes,Yes,NFSM
No,41.68,Rajasthan,Bioinputs,No,184638.32,176669.94,Yes,No,Kisan Credit Card Subsidy
No,22.02,Manipur,Organic,No,376349.39,99143.4,No,No,PM Krishi Sinchayee Yojana
No,15.12,Manipur,Organic,Yes,279838.37,62650.15,Yes,Yes,Kisan Credit Card Subsidy
No,12.97,Bihar,Chemical,Yes,410228.75,150733.23,Yes,Yes,PM Krishi Sinchayee Yojana
Yes,9.73,Tamil Nadu,Chemical,No,480200.15,44013.25,Yes,No,Kisan Credit Card Subsidy
No,2.88,Tamil Nadu,Organic,No,398404.61,77706.23,Yes,Yes,NFSM
Yes,17.12,Goa,Bioinputs,No,305863.51,173145.45,No,No,PM Krishi Sinchayee Yojana
No,13.51,Telangana,Chemical,Yes,251737.38,144884.47,Yes,Yes,NFSM
Yes,48.32,Punjab,Chemical,Yes,29633.85,80762.2,Yes,No,Kisan Credit Card Subsidy
No,27.89,Uttar Pradesh,Bioinputs,No,492317.77,42948.9,No,Yes,PM Krishi Sinchayee Yojana
Yes,17.36,Chhattisgarh,Bioinputs,Yes,197905.75,71193.68,No,No,NFSM
No,29.02,Punjab,Organic,Yes,84591.82,56820.83,No,No,PM Krishi Sinchayee Yojana
Yes,6.96,Kerala,Bioinputs,Yes,336687.34,35217.86,Yes,Yes,PM Krishi Sinchayee Yojana
No,22.2,Andhra Pradesh,Organic,No,149301.26,148666.58,Yes,Yes,Soil Health Card Scheme
Yes,31.31,West Bengal,Bioinputs,No,297031.35,50413.98,No,No,PM Krishi Sinchayee Yojana
No,24.44,Haryana,Chemical,Yes,297516.27,90833.49,Yes,No,Kisan Credit Card Subsidy
Yes,20.09,Andhra Pradesh,Organic,Yes,228407.61,77171.89,No,Yes,Kisan Credit Card Subsidy
Yes,49.69,Chhattisgarh,Organic,Yes,419698.12,196415.48,Yes,Yes,NFSM
No,44.02,Chandigarh,Organic,Yes,139833.86,78218.45,No,Yes,NFSM
No,31.17,Sikkim,Bioinputs,Yes,229829.97,15996.5,Yes,Yes,Kisan Credit Card Subsidy
Yes,28.47,Goa,Chemical,No,273469.14,17965.15,No,Yes,Kisan Credit Card Subsidy
No,31.03,Delhi,Organic,Yes,335176.11,118150.74,Yes,Yes,Kisan Credit Card Subsidy
Yes,10.07,Rajasthan,Organic,Yes,394146.21,119872.71,No,Yes,NFSM
Yes,19.76,Assam,Organic,Yes,203455.57,83751.8,Yes,Yes,Soil Health Card Scheme
Yes,1.97,Manipur,Organic,No,326563.0,86368.74,Yes,Yes,Soil Health Card Scheme
No,23.78,Chhattisgarh,Chemical,No,83799.37,10786.52,Yes,No,Kisan Credit Card Subsidy
Yes,27.15,West Bengal,Bioinputs,Yes,466997.57,103309.3,No,Yes,Kisan Credit Card Subsidy
Yes,11.39,Telangana,Chemical,No,197698.82,100947.9,Yes,Yes,Soil Health Card Scheme
No,48.2,Maharashtra,Organic,No,367465.5,29909.86,Yes,No,PM Krishi Sinchayee Yojana
No,45.47,Nagaland,Chemical,No,19967.13,20767.88,Yes,No,Kisan Credit Card Subsidy
No,36.11,Meghalaya,Organic,No,110541.7,24714.5,No,No,Kisan Credit Card Subsidy
No,26.67,Goa,Bioinputs,No,248670.45,20205.65,Yes,No,PM Krishi Sinchayee Yojana
Yes,43.5,Tripura,Bioinputs,No,440343.71,121941.64,No,No,Kisan Credit Card Subsidy
Yes,6.53,Telangana,Bioinputs,Yes,268355.02,39296.53,Yes,No,Kisan Credit Card Subsidy
Yes,39.53,Maharashtra,Organic,No,465636.54,50286.03,No,Yes,NFSM
Yes,6.24,Uttarakhand,Chemical,No,247060.48,34714.43,No,No,PM Krishi Sinchayee Yojana
No,39.71,Telangana,Bioinputs,Yes,250320.06,191567.06,Yes,No,PM Krishi Sinchayee Yojana
Yes,13.79,Haryana,Organic,Yes,68675.93,170923.49,No,No,NFSM
Yes,43.85,Chandigarh,Organic,Yes,403301.56,46098.97,No,Yes,NFSM
No,47.2,Delhi,Chemical,Yes,131013.05,65513.26,Yes,No,Kisan Credit Card Subsidy
Yes,7.44,Gujarat,Bioinputs,No,450810.12,41978.57,No,Yes,NFSM
Yes,23.13,Haryana,Organic,No,456303.87,98375.19,No,No,Kisan Credit Card Subsidy
Yes,49.05,Madhya Pradesh,Chemical,No,472221.95,3922.11,No,No,PM Krishi Sinchayee Yojana
Yes,24.17,Goa,Bioinputs,No,264912.94,134273.6,No,Yes,Kisan Credit Card Subsidy
Yes,43.18,Nagaland,Chemical,Yes,341775.95,104631.63,Yes,Yes,NFSM
Yes,29.44,Arunachal Pradesh,Chemical,No,391472.78,179727.79,No,No,Kisan Credit Card Subsidy
No,18.77,Haryana,Organic,No,74197.16,32878.54,No,Yes,Kisan Credit Card Subsidy
No,14.29,Karnataka,Organic,Yes,304469.03,160821.85,Yes,Yes,Kisan Credit Card Subsidy
Yes,10.16,Andhra Pradesh,Organic,No,26805.97,158392.2,Yes,No,Soil Health Card Scheme
Yes,38.09,Sikkim,Chemical,No,253807.38,25436.24,No,No,PM Krishi Sinchayee Yojana
No,19.33,Delhi,Organic,No,85872.91,79711.84,Yes,No,Kisan Credit Card Subsidy
Yes,25.56,Goa,Chemical,No,99632.23,34030.53,Yes,Yes,NFSM
Yes,24.62,Meghalaya,Chemical,Yes,188873.31,50944.1,Yes,No,NFSM
Yes,28.86,Uttarakhand,Organic,Yes,221894.21,52649.23,Yes,No,Kisan Credit Card Subsidy
No,43.28,Punjab,Bioinputs,Yes,315354.49,111247.28,Yes,Yes,Kisan Credit Card Subsidy
Yes,49.04,Kerala,Bioinputs,Yes,46469.93,82282.19,Yes,Yes,RKVY
No,20.38,Karnataka,Bioinputs,Yes,256808.96,189546.56,Yes,No,PM Krishi Sinchayee Yojana
Yes,41.38,Delhi,Chemical,No,99486.31,25274.03,Yes,Yes,Soil Health Card Scheme
